index,send_time_s,general_wait_s,reroute_wait_s,queue_size
0,0.024962130999995225,4.100799560546875e-05,,
1,0.030942773000020907,0.00013303756713867188,,
2,0.030610706000004484,0.0001232624053955078,,
3,0.04229285099998492,0.00012373924255371094,,
4,0.029982840000002398,0.00013327598571777344,,
5,0.029986277000006112,0.00011920928955078125,,
6,0.0442120799999941,0.000148773193359375,,
7,0.032155111000008674,0.00010704994201660156,,
8,0.022148334000007708,0.0002465248107910156,,
9,0.02996474600001875,4.9114227294921875e-05,,
10,0.03735668999999575,0.00018835067749023438,,
11,0.025149513000002344,5.316734313964844e-05,,
12,0.02528137999999558,0.0003070831298828125,,
13,0.028556188000010252,0.00012183189392089844,,
14,0.04047743600000331,0.00011682510375976562,,
15,0.03115860699998052,0.00047516822814941406,,
16,0.03149357899999927,0.00012564659118652344,,
17,0.029841297000018585,0.00011730194091796875,,
18,0.021995570999990832,0.00025153160095214844,,
19,0.02564828100000227,0.00010323524475097656,,
20,0.037223699999998416,4.38690185546875e-05,,
21,0.03568392900001527,9.584426879882812e-05,,
22,0.03633015400001227,0.00011754035949707031,,
23,0.03234780200000387,0.00011801719665527344,,
24,0.031363285999987056,0.00011730194091796875,,
25,0.03519314900000836,0.00023174285888671875,,
26,0.03548135699998056,4.2438507080078125e-05,,
27,0.029898000000002867,0.00012493133544921875,,
28,0.025816542000001164,0.00010967254638671875,,
29,0.033478424000009,0.00011968612670898438,,
30,0.03249931499999548,0.0001201629638671875,,
31,0.03249839899999074,0.000110626220703125,,
32,0.039334039000010534,0.00012111663818359375,,
33,0.038333809000022256,0.00011467933654785156,,
34,0.033562842999998566,0.00011396408081054688,,
35,0.03843093999998359,0.00010514259338378906,,
36,0.028566656000009516,0.0001285076141357422,,
37,0.040350420999999415,0.00010919570922851562,,
38,0.031523225999990245,0.000118255615234375,,
39,0.04438440299998092,0.00012350082397460938,,
40,0.04225832000000196,0.00012135505676269531,,
41,0.037268382000007705,0.00011801719665527344,,
42,0.02877103500000544,0.00011444091796875,,
43,0.040256229999982907,0.00011610984802246094,,
44,0.03141103300001191,0.000118255615234375,,
45,0.03152461700000231,0.00013113021850585938,,
46,0.0265206830000011,0.00013947486877441406,,
47,0.025546271999985493,0.00026297569274902344,,
48,0.03352164500000754,5.054473876953125e-05,,
49,0.038123036000001775,3.552436828613281e-05,,
50,0.0367741689999832,5.245208740234375e-05,,
51,0.02874426500000027,3.647804260253906e-05,,
52,0.03220619300000749,5.078315734863281e-05,,
53,0.023598228000025756,0.00012040138244628906,,
54,0.03544714499997781,4.839897155761719e-05,,
55,0.03098075200000494,5.245208740234375e-05,,
56,0.03158598400000301,3.886222839355469e-05,,
57,0.029518475000003264,0.00016379356384277344,,
58,0.025689642999992657,3.933906555175781e-05,,
59,0.03689306100000067,0.00014209747314453125,,
60,0.029562212000001864,5.245208740234375e-05,,
61,0.03934677999998826,5.0067901611328125e-05,,
62,0.03816028100001745,0.00016355514526367188,,
63,0.033991168000000016,0.00011134147644042969,,
64,0.0328039040000192,0.00015807151794433594,,
65,0.03264885499999082,0.00011372566223144531,,
66,0.03239529699999366,0.00020599365234375,,
67,0.031029934000002868,0.00013899803161621094,,
68,0.03703560599998923,0.00010371208190917969,,
69,0.036341237000016235,0.00013709068298339844,,
70,0.031054339999997183,0.00043845176696777344,,
71,0.04318628499999022,0.00012636184692382812,,
72,0.03454002000000855,0.00010728836059570312,,
73,0.029572522999984585,0.0001442432403564453,,
74,0.033540361000007124,5.1975250244140625e-05,,
75,0.028916737999992392,0.00011324882507324219,,
76,0.03257470100001569,0.00010514259338378906,,
77,0.028041627999982666,8.845329284667969e-05,,
78,0.02771965299999124,4.792213439941406e-05,,
79,0.038924395000009326,4.1961669921875e-05,,
80,0.04357735900001103,3.337860107421875e-05,,
81,0.02666712300000995,0.00011467933654785156,,
82,0.03145730800000024,0.00010228157043457031,,
83,0.033306608000003735,4.9591064453125e-05,,
84,0.03317624899997895,0.0003578662872314453,,
85,0.03205089400000816,0.0001361370086669922,,
86,0.03173916500000473,0.0001690387725830078,,
87,0.02329130499998655,0.0002422332763671875,,
88,0.025581187000000227,0.000125885009765625,,
89,0.031627349999979515,4.982948303222656e-05,,
90,0.035142508000006956,0.00027632713317871094,,
91,0.03125742599999626,0.00012493133544921875,,
92,0.03066253100001859,5.6743621826171875e-05,,
93,0.027083855999990192,0.0002548694610595703,,
94,0.026005607000001874,5.602836608886719e-05,,
95,0.025082631999993055,0.00012040138244628906,,
96,0.032760362999994186,0.00012636184692382812,,
97,0.03253079999998931,0.00010347366333007812,,
98,0.0273859780000123,4.935264587402344e-05,,
99,0.0310134830000095,0.00011229515075683594,,
